epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,115.793,6.86964,0.0011,0.00548,6.78716,3.66412e-06,3.66412e-06,3.66412e-06
2,225.607,6.75142,0.0011,0.00876,6.64744,7.1477e-06,7.1477e-06,7.1477e-06
3,333.102,6.64021,0.00657,0.03176,6.4724,1.04481e-05,1.04481e-05,1.04481e-05
4,439.066,6.5099,0.03176,0.08543,6.2541,1.01758e-05,1.01758e-05,1.01758e-05
5,545.238,6.35378,0.06572,0.17525,5.95988,9.9011e-06,9.9011e-06,9.9011e-06
6,651.247,6.15811,0.12924,0.31544,5.63013,9.62637e-06,9.62637e-06,9.62637e-06
7,759.427,5.92619,0.20591,0.44359,5.22715,9.35165e-06,9.35165e-06,9.35165e-06
8,865.849,5.65344,0.28587,0.55422,4.78021,9.07692e-06,9.07692e-06,9.07692e-06
9,967.25,5.38014,0.38007,0.67141,4.24403,8.8022e-06,8.8022e-06,8.8022e-06
10,1071.72,5.08461,0.44469,0.73494,3.8701,8.52748e-06,8.52748e-06,8.52748e-06
11,1172.61,4.80173,0.49836,0.79956,3.4909,8.25275e-06,8.25275e-06,8.25275e-06
12,1274.83,4.52555,0.54217,0.85214,3.20736,7.97803e-06,7.97803e-06,7.97803e-06
13,1377.65,4.27443,0.60679,0.88061,2.84769,7.7033e-06,7.7033e-06,7.7033e-06
14,1478.33,4.03035,0.66156,0.90909,2.63018,7.42858e-06,7.42858e-06,7.42858e-06
15,1579.81,3.8285,0.69989,0.92771,2.34035,7.15385e-06,7.15385e-06,7.15385e-06
16,1680.29,3.60697,0.72946,0.94414,2.12633,6.87912e-06,6.87912e-06,6.87912e-06
17,1782.28,3.43595,0.75575,0.95728,1.92564,6.6044e-06,6.6044e-06,6.6044e-06
18,1885.11,3.25789,0.78642,0.96824,1.78229,6.32967e-06,6.32967e-06,6.32967e-06
19,1984.48,3.07749,0.79847,0.97043,1.60763,6.05495e-06,6.05495e-06,6.05495e-06
20,2087.4,2.95219,0.81818,0.97809,1.47775,5.78023e-06,5.78023e-06,5.78023e-06
21,2190.37,2.8084,0.82913,0.98357,1.41601,5.5055e-06,5.5055e-06,5.5055e-06
22,2293.37,2.68819,0.84337,0.98576,1.27196,5.23077e-06,5.23077e-06,5.23077e-06
23,2397.92,2.6079,0.85871,0.98795,1.19187,4.95605e-06,4.95605e-06,4.95605e-06
24,2502.28,2.46681,0.87185,0.98905,1.13263,4.68133e-06,4.68133e-06,4.68133e-06
25,2603.4,2.39221,0.87404,0.99014,1.05553,4.4066e-06,4.4066e-06,4.4066e-06
26,2705.08,2.31671,0.88609,0.99343,1.03591,4.13188e-06,4.13188e-06,4.13188e-06
27,2806.05,2.22223,0.89595,0.99452,0.94541,3.85715e-06,3.85715e-06,3.85715e-06
28,2906.81,2.15845,0.90252,0.99343,0.919,3.58242e-06,3.58242e-06,3.58242e-06
29,3006.7,2.10065,0.90142,0.99452,0.86165,3.3077e-06,3.3077e-06,3.3077e-06
30,3106.87,2.05976,0.90471,0.99343,0.8354,3.03297e-06,3.03297e-06,3.03297e-06
31,3206.21,1.99684,0.91347,0.99452,0.81517,2.75825e-06,2.75825e-06,2.75825e-06
32,3306.23,1.97421,0.91566,0.99562,0.77986,2.48352e-06,2.48352e-06,2.48352e-06
33,3405.49,1.9469,0.92333,0.99562,0.75213,2.2088e-06,2.2088e-06,2.2088e-06
34,3504.8,1.88892,0.92662,0.99562,0.74745,1.93408e-06,1.93408e-06,1.93408e-06
35,3605.53,1.84847,0.93319,0.99562,0.71551,1.65935e-06,1.65935e-06,1.65935e-06
36,3709.08,1.8323,0.931,0.99671,0.71915,1.38462e-06,1.38462e-06,1.38462e-06
37,3812.67,1.82435,0.931,0.99562,0.69295,1.1099e-06,1.1099e-06,1.1099e-06
38,3916.3,1.79883,0.93319,0.99671,0.68917,8.35175e-07,8.35175e-07,8.35175e-07
39,4017.01,1.81604,0.93428,0.99562,0.68209,5.6045e-07,5.6045e-07,5.6045e-07
40,4119.34,1.80446,0.93319,0.99671,0.68441,2.85725e-07,2.85725e-07,2.85725e-07
